Sno,Party Name,Party Account no,Party Bank Name,Party Bank Branch,Party Bank Ifsc Code,Party Amount
1,sdfs,20239078885,SBI,"Madhurawada, Visakhaapatnam",SBIN0004362,200
2,sdffds,20225610218,SBI,"Lawsons Bay Colony, Visakhapatnam",SBIN0015213,200
3,fdsdf,10365933539,SBI,"Madhurawada, Visakhaapatnam",SBIN0004362,200
4,sfsdf,20225610207,SBI,"Lawsons Bay Colony, Visakhapatnam",SBIN0015213,200
