Sno,Party Name,Party Account no,Party Bank Name,Party Bank Branch,Party Bank Ifsc Code,Party Amount
1,"Project Manager of DPSU, Visakhapatnam",62239969369,SBH,Suryabagh,SBHY0020282,2646726
2,"Project Director of PSU, Hyderabad",34242076277,SBI,Gowliguda,SBIN0002724,400000
3,"Project Manager of DPSU, YSR Kadapa",62238711683,SBH,Kadapa,SBHY0021067,611000
