Sno,Party Name,Party Account no,Party Bank Name,Party Bank Branch,Party Bank Ifsc Code,Party Amount
1,uday,123456,SBI,HYD,SBIN0002724,1000
2,GAR,464646,SBI,HYD,SBIN0002724,2000
3,PRATAP,741646,SBI,ONGOLE,SBIN0000844,3000
