Sno,Party Name,Party Account no,Party Bank Name,Party Bank Branch,Party Bank Ifsc Code,Party Amount
1,INCOME TAX DEPARTMENT,10653964140,SBI,MAIN BRANCH,SBIN0000953,87379
2,SALES TAX DEPARTMENT,30033307511,SBI,CONTONMENT BRANCH,SBIN0006647,151650
3,MINES AND ZEOLOGICAL DEPARTMENT,30033307511,SBI,CONTONMENT BRANCH,SBIN0006647,48765
4,BUILDING & OTHER CONSTRUCTION WORKERS WELFARE FUND ACCOUNT,1.42E+14,ANDHRA BANK,"VIVEK NAGAR, HYDERABAD",ANDB0001422,30331
5,KESALI RURAL DEVELOPMENT SERVICE SOCIETY VZM,34027182056,SBI,FORT BRANCH,SBIN001004,499158
