Sno,Party Name,Party Account no,Party Bank Name,Party Bank Branch,Party Bank Ifsc Code,Party Amount
1,APSSDC Ltd Srikakulam,018611011000036,Andhra Bank ,Women's Circle Branch Srikakulam,ANDB0000186,7479000
2,APSSDC Ltd Vizianagaram,060911011002450,Andhra Bank ,Main Branch Vizianagaram,ANDB0000609,2400000
