Sno,Party Name,Party Account No,Party Bank Name,Party Bank Branch,Party Bank ifsc Code,Party Amount
1,"Executive Engineer, TW Division,  Seethampeta",33862290013,State Bank of India,Seethampeta,SBIN0011997,20000000
2,"Executive Engineer, TW Division,  Parvathipuram",11328829560,State Bank of India,Parvathipuram,SBIN0000895,27500000
3,"Executive Engineer, TW Division, Paderu",32670820502,State Bank of India,Bakuru at Paderu,SBIN0009473,50734000
4,"Executive Engineer, TW Division, Rampachodavaram",3.29E+14,Union Bank of India,Rampachodavaram,UBIN0532878,20000000
5,"Executive Engineer, TW Division,  K.R.Puram",5.01E+13,HDFC,Jangareddigudem,HDFC0003034,7500000
6,"Executive Engineer, TW Division,  Srisailam",30342997591,State Bank of India,"Sundipenta, Srisailam Project Township",SBIN0000750,18000000
7,"Executive Engineer, TW Division,  Nellore",62202166477,State Bank of Hyderabad,Dargamitta,SBHY0020897,8700000
