Sno,Party Name,Party Account no,Party Bank Name,Party Bank Branch,Party Bank Ifsc Code,Party Amount
1,RS G Seethampeta,62212123001,State Bank of Hyderabad,,SBHY0021241,539585
2,RJC G RC Varam,62206970917,State Bank of Hyderabad,,SBHY0020339,477301
3,RJC G Mahanandi,62051855773,State Bank of Hyderabad,,SBHY0020677,517967
4,Mini Gurukulam,62350410176,State Bank of Hyderabad,,SBHY0021026,2260359
5,RS G Bhadragiri  ,11627539187,State Bank of India,,SBIN0008299,591019
6,URJC G Kurupam  ,31599391228,State Bank of India,,SBIN0002752,491992
7,RS G Kunavaram  ,33105524909,State Bank of India,,SBIN0008795,887850
8,RS B G K Veedhi,31863175446,State Bank of India,,SBIN0000886,393434
9,RS G Y Ramavaram,11516007679,State Bank of India,,SBIN0005883,590653
10,RS G Dornala,31939217655,State Bank of India,,SBIN0002815,216920
11,RS G Kodavaluru,34087362344,State Bank of India,,SBIN0015306,1100614
12,RJC B Chintapally,34064169846,State Bank of India,,SBIN0000886,458338
13,RJC B Maredumilli,33628591597,State Bank of India,,SBIN0014572,259340
14,RJC G G K Veedhi,32416011516,State Bank of India,,SBIN0014372,538582
15,RJC G P Konavalasa,32083975133,State Bank of India,,SBIN0000914,497996
,,,,,,
,,,,,,
,,,,,,
,,,,,,
