Sno,Party Name,Party Account no,Party Bank Name,Party Bank Branch,Party Bank Ifsc Code,Party Amount
1,District Collector/Chairmen Srikakulam,1.86E+13,Andhra Bank,Womens Br,ANDB0000186,2800000
2,"District Collector/Chairmen, Vizianagaram",3.31E+13,Corporation Bank,Vizianagaram Br,CORP0000331,2240000
3,"District Collector/Chairmen, Vishakapatnam",1.05E+14,Andhra Bank,V.P.Colony Br,ANDB0001046,4480000
4,"District Collector/Chairmen, Kakinada",6.26E+11,Canara Bank,Kakinada Main Br,CNRB0000626,5040000
5,"District Collector/Chairmen, Ltd.,Eluru",9.70E+12,Bank of Borada,Eluru Br,BARB0ELURUX,3920000
6,"District Collector/Chairmen, Machilipatnam",6104552984,Indian Bank,Mogalrajapuram Br,IDIB000M088,4480000
7,"District Collector/Chairmen, Guntur",1.23E+13,Indian Overses bank,Brodipet Br,IOBA0000123,5040000
8,"District Collector/Chairmen, Nellore",3.31E+14,Union Bank of India,Nellore Br,UBIN0533068,2800000
9,"District Collector/Chairmen, Ananthapur",91020236843,Andhra Pragathi Grameena Bank,Main Br,APGB0001002,3920000
10,"District Collector/Chairmen, Prakasam",32850975618,State Bank of India,Collectrate Br,SBIN0010310,3360000
11,"District Collector/Chairmen, YSR Dist Kadapa",32851521937,State Bank of India,Yerramukkapalli Br.,SBIN0001902,2800000
12,"District Collector/Chairmen, Kurnool",32802555568,State Bank of India,Main Br,SBIN0000866,3920000
13,"District Collector/Chairmen, Chittoor",32854216375,State Bank of India,Collectrate Br,SBIN0015100,3920000
