Sno,"Party Name","Party Account no","Party Bank Name","Party Bank Branch","Party Bank Ifsc Code","Party Amount"
1,"Human and Rural Intigratation for technical action Kadiri",30312919245,SBI,Kadiri,SBIN0000849,49500
2,"Kranthi Scoiety K V Palli Kadiri",30110011015232,"Andhra Bank",Kadiri,ANDB0000301,105120
3,"Annadatha MRP SSPS Gandlapents",19102600356,APGB,Gandlapenta,APGB0001021,90720
4,"Rural and Environment Development Society Kadiri",31463337696,SBI,Kadiri,SBIN0000849,178920
5,"Radha Mahila Mandali Guntakal",19171030100,APGB,Guntakal,APGB0001025,232920
6,"Kallumarri Rural Education and Development Society Munimadugu Penukonda",370010002845,"Ing Vysya Bank",Penukonda,VYSA0003700,37080
7,"Jeevani Voluntary Organization Bathalapalli",31772265617,SBI,Gorantla,SBIN0003833,78120
8,"Peoples Awareness and Social Service",851101020983,"Canara Bank",Dharmavaram,CNRB0000851,59400
9,"Jana Jaagriti Tanakal",34989359701,SBI,Tanakal,SBIN0002797,63360
10,"Prabhat Rural Development Society Puttaparthy",31322200022734,"Syndicate Bank",Puttaparthy,SYNB0003132,115380
11,"Rural Integrated Development Society Garladinne",97101022418,"Canara Bank",Garladinne,CNRB0000979,162000
12,"International Animal and Birds Welfar Society Guttur",370010005354,"Ing Vysya Bank",Penukonda,VYSA0003700,434340
13,"Human and Natural Resources Development Society Gooty",19027579713,APGB,Gooty,APGB0001075,366840
14,"Accion Fraternce Ecology Centre Anantapuram",659101014761,"Canara Bank",Anantapuram,CNRB0000659,95600
15,"Forum for Rural Development Madakasira",32223664542,SBI,Madakasira,SBIN0000251,155160
16,"Jana Jeevana MRP SSPS Nallacheruvu",91025482546,APGB,Nallacheruvu,APGB0001047,40500
17,"Mahatma Ganthi Yuvajana Sangam Polepalli Ramagiri",30948341848,SBI,Anantapuram,SBIN0001925,240840
