Sno,Party Name,Party Account no,Party Bank Name,Party Bank Branch,Party Bank Ifsc Code,Party Amount,
1,A.P. Productivity council-CGP,21811100003341,Andhra Bank,Jubliee Hills Branch,ANDB0000218,2250000,
2,"Registrar, Dr.B.R.Ambedkar University, Srikakulam",12811011002434,Andhra Bank,Jubliee Hills Branch,ANDB0000128,90000,
